countyname,districtname,schoolname,total_5_8,title1allocation
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Atlantic City High School",0,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Brighton Avenue School",34,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Chelsea Heights School",135,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Dr Martin Luther King Jr School Complex",209,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","New York Avenue School",228,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Pennsylvania Ave School",189,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Richmond Avenue School",279,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Sovereign Avenue School",298,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Texas Avenue School",252,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Uptown School Complex",210,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Venice Park School",0,2638399
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Buena Regional High School",0,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Buena Regional Middle School",345,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Collings Lakes Elementary School",0,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Dr. J.P. Cleary Elementary School",116,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","John C. Milanesi Elementary School",0,407210
ATLANTIC,"EGG HARBOR CITY SCHOOL DISTRICT","Charles L. Spragg School",0,107427
ATLANTIC,"EGG HARBOR CITY SCHOOL DISTRICT","Egg Harbor City Community School",217,107427
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Alder Avenue Middle School",919,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Bargaintown Preschool",0,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Clayton J. Davenport Elementary School",0,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Dr. Joyanne D. Miller Elementary School",498,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Egg Harbor Township High School",0,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Fernwood Avenue Middle School",811,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Swift-Slaybaugh Complex",0,456597
ATLANTIC,"FOLSOM BOROUGH SCHOOL DISTRICT","Folsom Elementary School",171,40083
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Arthur Rann Elementary School",194,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Arthur Rann Elementary School",194,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Galloway Township Middle School",707,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Galloway Township Middle School",707,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Reeds Road Elementary School",122,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Reeds Road Elementary School",122,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Roland Rogers Elementary School",171,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Roland Rogers Elementary School",171,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Smithville Elementary School",167,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Smithville Elementary School",167,310207
ATLANTIC,"GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT","Absegami High School",0,282323
ATLANTIC,"GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT","Cedar Creek High School",0,282323
ATLANTIC,"GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT","Oakcrest High School",0,282323
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","George L. Hess Educational Complex",274,287551
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","George L. Hess Educational Complex",274,1203359
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","Joseph C Shaner Memorial Elementary School",0,287551
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","Joseph C Shaner Memorial Elementary School",0,1203359
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","William Davies Middle School",906,287551
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","William Davies Middle School",906,1203359
ATLANTIC,"MAINLAND REGIONAL HIGH SCHOOL","Mainland Regional High School",0,94979
ATLANTIC,"MARGATE CITY SCHOOL DISTRICT","Eugene A. Tighe Middle School",140,67095
ATLANTIC,"MARGATE CITY SCHOOL DISTRICT","William H. Ross III School",0,67095
ATLANTIC,"MULLICA TOWNSHIP SCHOOL DISTRICT","Mullica Township Middle School",262,96722
ATLANTIC,"MULLICA TOWNSHIP SCHOOL DISTRICT","Mullica Township Primary School",0,96722
ATLANTIC,"NORTHFIELD CITY SCHOOL DISTRICT","Northfield Community Elementary School",0,72324
ATLANTIC,"NORTHFIELD CITY SCHOOL DISTRICT","Northfield Community Middle School",397,72324
ATLANTIC,"VENTNOR CITY SCHOOL DISTRICT","Ventnor Elementary School",0,221327
ATLANTIC,"VENTNOR CITY SCHOOL DISTRICT","Ventnor Middle School",176,221327
ATLANTIC,"WEYMOUTH TOWNSHIP SCHOOL DISTRICT","Weymouth Township School",66,33112
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Bergenfield High School",0,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Franklin Elementary School",53,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Hoover Elementary School",42,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Jefferson Elementary School",61,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Lincoln Elementary School",76,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Roy W. Brown Middle School",762,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Washington Elementary School",46,257054
BERGEN,"CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT","Henry P. Becton Regional High School",0,40954
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Gantner Avenue School",57,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Gilbert Avenue School",69,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Memorial Middle School",569,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Memorial Senior High School",0,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Sixteenth Avenue School",66,187344
BERGEN,"PALISADES PARK SCHOOL DISTRICT","Charles R Smith Early Chilhood Center",0,217842
BERGEN,"PALISADES PARK SCHOOL DISTRICT","Lindbergh Elementary School",254,217842
